loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.2654096603393556,8.387649536132812,4.7888888888888886e-05,0.044444444444444446,20,,,,,,,,,,
2.2279796600341797,8.047693252563477,4.566666666666667e-05,0.08888888888888889,40,,,,,,,,,,
2.178843688964844,8.33987808227539,4.344444444444445e-05,0.13333333333333333,60,,,,,,,,,,
2.1538860321044924,9.104132652282715,4.1222222222222224e-05,0.17777777777777778,80,,,,,,,,,,
2.0737882614135743,6.723777770996094,3.9000000000000006e-05,0.2222222222222222,100,,,,,,,,,,
2.0478031158447267,7.314700126647949,3.677777777777778e-05,0.26666666666666666,120,,,,,,,,,,
2.0261728286743166,7.197010040283203,3.4555555555555556e-05,0.3111111111111111,140,,,,,,,,,,
2.0690967559814455,7.723268508911133,3.233333333333333e-05,0.35555555555555557,160,,,,,,,,,,
2.0047430038452148,7.647120475769043,3.0111111111111113e-05,0.4,180,,,,,,,,,,
1.953874397277832,7.649051189422607,2.788888888888889e-05,0.4444444444444444,200,,,,,,,,,,
2.006479263305664,6.754907131195068,2.5666666666666666e-05,0.4888888888888889,220,,,,,,,,,,
1.9847774505615234,7.18250036239624,2.3444444444444448e-05,0.5333333333333333,240,,,,,,,,,,
1.962991714477539,8.962068557739258,2.1222222222222223e-05,0.5777777777777777,260,,,,,,,,,,
1.9418134689331055,7.714433670043945,1.9e-05,0.6222222222222222,280,,,,,,,,,,
1.9079689025878905,8.336114883422852,1.677777777777778e-05,0.6666666666666666,300,,,,,,,,,,
1.903090476989746,8.496926307678223,1.4555555555555556e-05,0.7111111111111111,320,,,,,,,,,,
1.886403465270996,7.955960273742676,1.2333333333333334e-05,0.7555555555555555,340,,,,,,,,,,
1.8607463836669922,6.18812894821167,1.0111111111111111e-05,0.8,360,,,,,,,,,,
1.9027761459350585,6.2904276847839355,7.88888888888889e-06,0.8444444444444444,380,,,,,,,,,,
1.8904199600219727,6.910306453704834,5.666666666666667e-06,0.8888888888888888,400,,,,,,,,,,
1.871253776550293,7.39208459854126,3.4444444444444444e-06,0.9333333333333333,420,,,,,,,,,,
1.8851770401000976,6.9782514572143555,1.2222222222222223e-06,0.9777777777777777,440,,,,,,,,,,
,,,1.0,450,1.8718883991241455,0.34444444444444444,27.4071,16.419,4.123,,,,,
,,,1.0,450,,,,,,240.9519,7.47,1.868,8983880194867200.0,1.9983057657877603
,,,1.0,450,1.8718883991241455,0.34444444444444444,27.163,16.567,4.16,,,,,
